File,Binary.Label,Multiclass.Label
C1P1H1.jpg,healthy,healthy
C1P2E2.jpg,unhealthy,rust_level_2
C1P2H1.jpg,healthy,healthy
C1P3E1.jpg,healthy,healthy
C1P3E2.jpg,unhealthy,rust_level_2
C1P3H1.jpg,healthy,healthy
C1P3H2.jpg,unhealthy,rust_level_3
C1P4E2.jpg,unhealthy,rust_level_2
C1P4H1.jpg,healthy,healthy
C1P4H2.jpg,unhealthy,rust_level_2
C1P5E1.jpg,healthy,healthy
C1P5H1.jpg,healthy,healthy
C1P6E1.jpg,healthy,healthy
C1P6H1.jpg,healthy,healthy
C1P6H2.jpg,unhealthy,rust_level_2
C1P7E1.jpg,healthy,healthy
C1P7H1.jpg,healthy,healthy
C1P8E1.jpg,healthy,healthy
C1P8H1.jpg,healthy,healthy
C1P9E1.jpg,healthy,healthy
C1P9H1.jpg,healthy,healthy
C1P10E1.jpg,healthy,healthy
C1P10H1.jpg,healthy,healthy
C1P11E2.jpg,unhealthy,rust_level_2
C1P11H1.jpg,healthy,healthy
C1P17E2.jpg,unhealthy,rust_level_2
C1P17H1.jpg,healthy,healthy
C1P18E1.jpg,healthy,healthy
C1P18H1.jpg,healthy,healthy
C1P18H2.jpg,unhealthy,rust_level_1
C1P20E2.jpg,unhealthy,rust_level_1
C1P20H2.jpg,unhealthy,rust_level_2
C1P21H2.jpg,unhealthy,rust_level_1
C1P22H1.jpg,healthy,healthy
C1P22H2.jpg,unhealthy,rust_level_1
C1P23E1.jpg,healthy,healthy
C1P23E2.jpg,unhealthy,rust_level_2
C1P23H1.jpg,healthy,healthy
C1P24E2.jpg,unhealthy,rust_level_2
C1P24H2.jpg,unhealthy,rust_level_2
C1P26H1.jpg,healthy,healthy
C1P27E1.jpg,healthy,healthy
C1P27E2.jpg,unhealthy,rust_level_1
C1P27H1.jpg,healthy,healthy
C1P28E1.jpg,healthy,healthy
C1P28H1.jpg,healthy,healthy
C1P15H1.jpg,healthy,healthy
C1P15H2.jpg,unhealthy,rust_level_2
C1P28H2.jpg,unhealthy,rust_level_2
C1P29H2.jpg,unhealthy,rust_level_1
C1P29E1.jpg,healthy,healthy
C1P30E1.jpg,unhealthy,rust_level_1
C1P29H1.jpg,healthy,healthy
C1P30E2.jpg,unhealthy,rust_level_1
C1P11H2.jpg,unhealthy,rust_level_2
C1P12E2.jpg,unhealthy,rust_level_1
C1P12H2.jpg,unhealthy,rust_level_2
C1P14E1.jpg,healthy,healthy
C1P14E2.jpg,unhealthy,rust_level_1
C1P30H2.jpg,unhealthy,rust_level_2
C1P14H2.jpg,unhealthy,rust_level_1
C1P15E2.jpg,unhealthy,rust_level_1
C1P33E2.jpg,unhealthy,rust_level_1
C1P31H2.jpg,unhealthy,rust_level_1
C1P33H1.jpg,healthy,healthy
C1P32E2.jpg,unhealthy,rust_level_1
C1P34H1.jpg,healthy,healthy
C1P32H2.jpg,unhealthy,rust_level_1
C1P34H2.jpg,unhealthy,rust_level_2
C1P33E1.jpg,unhealthy,red_spider_mite
C1P35E1.jpg,healthy,healthy
C1P38E1.jpg,healthy,healthy
C1P35H1.jpg,healthy,healthy
C1P38H1.jpg,healthy,healthy
C1P35H2.jpg,unhealthy,rust_level_1
C1P38H2.jpg,unhealthy,rust_level_2
C1P39H1.jpg,healthy,healthy
C2P1E1.jpg,unhealthy,rust_level_2
C1P39H2.jpg,unhealthy,rust_level_3
C2P1H1.jpg,unhealthy,rust_level_3
C1P40E2.jpg,unhealthy,rust_level_1
